Feature	Gain	Cover	Frequency
ctrx_quarter	0.116114639959262	0.02472964364406	0.00641025641025641
rf_031_005	0.0969775751368481	0.0239070399792639	0.00384615384615385
rf_019_005	0.0852079847059824	0.0239070399792639	0.00384615384615385
rf_041_004	0.0780333509760866	0.00796901332642131	0.00128205128205128
ctrx_quarter_normalizado	0.0523519230649403	0.0350154959981541	0.0128205128205128
rf_004_003	0.0490915516865537	0.00796901332642131	0.00128205128205128
rf_046_005	0.0429866202189152	0.0239070399792639	0.00384615384615385
mcaja_ahorro	0.0278955016114706	0.0177113827298232	0.0128205128205128
mpayroll_sobre_edad	0.0204940416573615	0.0356297067345352	0.0179487179487179
rf_002_006	0.0187791952561451	0.00445085035847374	0.00384615384615385
rf_005_006	0.018135732679859	0.00796901332642131	0.00128205128205128
rf_040_004	0.0153794031659275	0.00796901332642131	0.00128205128205128
Visa_msaldopesos	0.0135086566712894	0.0253218376352951	0.0192307692307692
Visa_msaldototal	0.0128736973361161	0.0350092861469591	0.0192307692307692
rf_049_005	0.0127821773633841	0.00541684513268234	0.00769230769230769
mcuentas_saldo	0.0110408003188843	0.0192985239183709	0.0179487179487179
rf_048_004	0.00989520890254436	0.00655784480420541	0.00128205128205128
rf_037_011	0.00920716584495222	0.0231676644499649	0.00512820512820513
rf_015_014	0.00876440542625294	0.0169951530095237	0.00384615384615385
cpayroll_trx	0.00861819559013716	0.0164126367084627	0.00641025641025641
rf_011_001	0.00852555632556053	0.0137938537473589	0.0102564102564103
rf_011_007	0.00787888405677885	0.0110095822842784	0.00512820512820513
mcaja_ahorro_lag1	0.00770114163276278	0.00199868496320018	0.00128205128205128
rf_005_009	0.00760717879480538	0.00385591435502268	0.00256410256410256
rf_010_011	0.00755216920722886	0.0205946892223516	0.00384615384615385
rf_034_003	0.00652474162371164	0.00796901332642131	0.00128205128205128
cproductos_tend6	0.00593526234996205	0.00571378892619011	0.0128205128205128
mcuentas_saldo_min6	0.0051899938407298	0.00347453271474613	0.00641025641025641
rf_018_012	0.00502633467591532	0.011223862474216	0.00641025641025641
mtarjeta_visa_consumo	0.00475497134342056	0.00498747827862602	0.00641025641025641
rf_005_001	0.00470044840986999	0.00104325500076494	0.00256410256410256
Visa_mpagominimo	0.00463328642975967	0.01098724294946	0.00897435897435897
rf_018_004	0.0042191436585792	0.0107815113858428	0.00256410256410256
