Feature	Gain	Cover	Frequency
rf_019_005	0.0775512236173661	0.000305589605930871	0.000143974660459759
ctrx_quarter_normalizado	0.0698211716657872	0.00201165321417379	0.00203964102317992
rf_046_005	0.0512466353695646	0.000864413894534915	0.000311945097662811
rf_034_003	0.0452731067000711	0.000567445001544968	0.000167970437203052
rf_048_004	0.0444658445839934	0.000415509010356978	0.000191966213946345
mcaja_ahorro	0.0336898189847713	0.00266188285264859	0.00364735806498056
mpayroll_sobre_edad	0.013212886233457	0.00210737813219249	0.000935835292988434
Visa_msaldototal	0.0106740496577887	0.00246559192579973	0.00275951432547872
mcuenta_corriente	0.00884836253556754	0.00588199052627439	0.00590296107885012
cpayroll_trx	0.00843843529716041	0.00124964766396522	0.000311945097662811
rf_029_004	0.00809994728437127	0.00055861454579371	0.000359936651149398
rf_011_001	0.00743733479257342	0.000422427688735672	0.000503911311609157
mactivos_margen	0.00729788423056562	0.00845856332518225	0.00614291884628305
mcuentas_saldo	0.00698544038491117	0.00545181369100559	0.00559101598118731
ctrx_quarter	0.00659163408946039	0.00256850478661579	0.00333541296731775
rf_002_006	0.00649682793274611	0.000387563615242381	0.000479915534865864
cdescubierto_preacordado	0.00557763464515757	0.00113745510097307	0.00098382684647502
cproductos_ratioavg6	0.00553186582500443	0.00337357280327561	0.00158372126505735
Visa_mpagominimo	0.00545589095420391	0.00371143870991823	0.00479915534865864
Visa_msaldopesos	0.00512873109361553	0.00206454808344999	0.0024715650045592
mcuentas_saldo_ratioavg6	0.00494716115080157	0.00432606025479551	0.00655084705091904
numero_de_cliente	0.00444669635083147	0.00564543606574731	0.00935835292988434
mactivos_margen_ratioavg6	0.00444284568174986	0.00667525484112837	0.00789461054854346
mtarjeta_visa_consumo	0.00435425605651585	0.000741398319093341	0.00143974660459759
Master_fechaalta	0.00433323449446463	0.00389342886177336	0.00679080481835197
cproductos	0.00412678352507991	0.00397008419022554	0.00292748476268177
mtransferencias_recibidas	0.00412339232752553	0.00203202802758028	0.00443921869750924
Visa_Fvencimiento	0.00412003934180755	0.00413556985039728	0.00851850074386908
cliente_edad	0.00388300688041432	0.00376624252220469	0.00647885972068916
mactivos_margen_max6	0.00374850234860898	0.00533376675267908	0.00369534961846715
Master_Fvencimiento	0.00372983194519743	0.00429913381292841	0.00753467389739406
Visa_fechaalta	0.00369686818373872	0.003275848242653	0.00542304554398426
rf_049_005	0.00369385507792948	8.25380474095676e-05	0.000431923981379277
mactivos_margen_ratiomax6	0.00351150283156591	0.00411133038399229	0.00575898641839036
mcaja_ahorro_ratioavg6	0.00348043414548375	0.00274905649960275	0.00619091039976964
mcuentas_saldo_ratiomax6	0.00338952566544543	0.00386514617754485	0.00580697797187695
rf_031_012	0.00334620815289396	0.000191201829335977	0.000311945097662811
rf_011_008	0.00333298660564796	0.000294681562612394	0.000335940874406105
mcaja_ahorro_ratiomax6	0.00324236445620856	0.00159445208952264	0.00501511733934828
mrentabilidad_annual_avg6	0.00322198629799928	0.00142491754280278	0.00297547631616835
rf_013_015	0.00312193284407198	0.00105577586534094	0.000215961990689639
mactivos_margen_avg6	0.00299791499682288	0.00531156094122562	0.00417526515333301
mpayroll	0.00293748756077482	0.0011264110082641	0.00059989441858233
mcuenta_corriente_ratioavg6	0.00292440553967053	0.00418019546765798	0.00638287661371599
mcaja_ahorro_min6	0.00286690335609784	0.00250404005042365	0.00431923981379277
mcuenta_corriente_ratiomax6	0.00285810412179601	0.00518173581035398	0.00513509622306474
mcuenta_corriente_tend6	0.0028518596519176	0.00471101483953908	0.00439122714402265
cliente_edad_lag2	0.00283749946887923	0.00407752069327527	0.00525507510678121
ctarjeta_visa_transacciones	0.00283366461377694	0.00343569068748186	0.00242357345107261
kmes_lag2	0.00281735913959334	0.000990520342066602	0.0014157508278543
mcuenta_corriente_lag1	0.00270446707738857	0.0022575468984853	0.00213562413015309
mrentabilidad	0.00267444544252215	0.00533085019387052	0.00501511733934828
Visa_mpagospesos	0.00264021986057734	0.00187117229822853	0.00395930316264337
mrentabilidad_annual	0.00261607150837939	0.00364279895805554	0.0049191342323751
mrentabilidad_max6	0.00261549420676938	0.00373708685438722	0.00439122714402265
Visa_Fvencimiento_lag2	0.00258195700263035	0.00229848501039135	0.00463118491145558
ctarjeta_visa_transacciones_ratiomax6	0.00256392741059987	0.00238037965755841	0.00299947209291165
mpasivos_margen_ratioavg6	0.00254434119590403	0.00277932182026137	0.00470317224168546
ctarjeta_visa_transacciones_ratioavg6	0.00252698064086836	0.00135053679009779	0.00295148053942506
mrentabilidad_annual_ratioavg6	0.00252226589027341	0.00329942446827937	0.00525507510678121
mcuentas_saldo_tend6	0.00251672357550942	0.0026402524167424	0.00429524403704948
mactivos_margen_min6	0.00243422560497	0.00316529252389014	0.00424725248356289
mrentabilidad_annual_max6	0.00239676171097846	0.0026394701327471	0.00446321447425253
mrentabilidad_annual_lag2	0.00237089957437513	0.00272689603794613	0.00369534961846715
Visa_Fvencimiento_lag1	0.0023652912583447	0.00243603236135426	0.0052790708835245
rf_030_013	0.0023298138065345	0.000241194311615126	0.000263953544176225
chomebanking_transacciones	0.00226577191024019	0.00188889414852053	0.004583193357969
mpasivos_margen_max6	0.00225662102306989	0.00270904238980709	0.00472716801842876
Master_fechaalta_lag1	0.002226011330649	0.00178304630554096	0.00400729471612996
thomebanking	0.00222267676513195	0.00216160373456937	0.00165570859528723
Master_Fvencimiento_lag1	0.00221966545286017	0.00285075058462903	0.00532706243701109
mcaja_ahorro_dolares_ratioavg6	0.00221847691235604	0.00200037528657493	0.00379133272544032
mcaja_ahorro_lag2	0.00220146063818827	0.00177242594999612	0.00331141719057446
cproductos_ratiomax6	0.0021935322818491	0.00118432836753908	0.000911839516245141
mrentabilidad_annual_ratiomax6	0.0021525824041126	0.00250188310071198	0.00439122714402265
ctrx_quarter_delta2	0.00215056894526321	0.00155585374369673	0.00321543408360129
mrentabilidad_annual_tend6	0.00214254139105373	0.00577301354731363	0.00508710466957816
internet_avg6	0.00208028560101469	0.00113267211458878	0.00254355233478908
rf_018_012	0.00207770492702338	0.000306797044271438	0.000551902865095743
Visa_mfinanciacion_limite	0.00207414777709131	0.00210625147317752	0.00407928204635984
mcuenta_corriente_min6	0.00205789861604772	0.00191689197933771	0.00302346786965494
mcuentas_saldo_delta1	0.0020401258975755	0.00254652005542187	0.0035273791812641
rf_018_004	0.00202094956011199	0.000375517575459731	0.000263953544176225
cliente_edad_max6	0.00201074692475071	0.00255368107177737	0.00307145942314153
Visa_fechaalta_lag1	0.00200137976614843	0.00192473182546449	0.00395930316264337
ccaja_ahorro	0.00197253265078426	0.00208625221277602	0.00107980995344819
mcuentas_saldo_max6	0.00197222262305765	0.00182829831687035	0.00405528626961655
mrentabilidad_tend6	0.00197128211451134	0.00265055248934714	0.00427124826030619
cliente_antiguedad	0.00196867223285291	0.00278575015396185	0.00415126937658972
mrentabilidad_annual_delta2	0.00196490933046045	0.00271265336737958	0.00400729471612996
cliente_antiguedad_ratioavg6	0.00194993866592911	0.00170798530588354	0.00345539185103422
mrentabilidad_ratioavg6	0.00194744886007549	0.0022724145459394	0.00417526515333301
Master_Fvencimiento_lag2	0.00192990663500805	0.00197351686940308	0.00412727359984643
cliente_edad_min6	0.00186833175900923	0.00248008968897344	0.00364735806498056
rf_015_004	0.00186083148505164	0.000215996830752124	9.59831069731727e-05
rf_011_007	0.00184533408101779	0.000170566254597722	9.59831069731727e-05
mactivos_margen_tend6	0.00183187500078447	0.00369267097993686	0.00359936651149398
Visa_mconsumospesos	0.00182895909729711	0.00182856899847017	0.0038873158324135
mttarjeta_visa_debitos_automaticos_ratiomax6	0.001827790137937	0.00277691544666714	0.00232759034409944
Master_mfinanciacion_limite	0.00181992801439686	0.00269918589490258	0.00393530738590008
mpasivos_margen	0.00181777502524552	0.00212983195034735	0.00415126937658972
mactivos_margen_delta1	0.00178691967355575	0.00386076141906396	0.00383932427892691
mcomisiones_mantenimiento_tend6	0.00176938473144406	0.00397499330573226	0.00242357345107261
mcaja_ahorro_tend6	0.00176359087301143	0.00217412736439988	0.0031674425301147
mpagomiscuentas	0.0017611275968394	0.00335344316220823	0.00158372126505735
mpasivos_margen_tend6	0.00175648110467354	0.00222570567238688	0.00338340452080434
Visa_fultimo_cierre	0.0017317193428235	0.00345805664040537	0.00369534961846715
Master_fechaalta_lag2	0.00171903088598511	0.0021001533426852	0.00299947209291165
ccomisiones_mantenimiento_max6	0.00171412548423035	0.00151978081468172	0.000647885972068916
chomebanking_transacciones_lag1	0.00169917990682222	0.00129702969856441	0.00371934539521044
rf_050_006	0.00166881779521463	9.56838197653161e-05	0.000407928204635984
mactivos_margen_delta2	0.0016687623979644	0.00381221587873988	0.00362336228823727
mpasivos_margen_ratiomax6	0.00166257430746958	0.00223449928142822	0.00391131160915679
mrentabilidad_annual_delta1	0.0016351214843499	0.00166655401493698	0.00326342563708787
mcomisiones_max6	0.00162159773868272	0.00213726931702727	0.0035273791812641
mactivos_margen_lag1	0.00159676086131098	0.00245047202010078	0.0024475692278159
mcuenta_corriente_delta2	0.00158795109795701	0.00281985461835826	0.00285549743245189
cproductos_tend6	0.00157828708706407	0.00343210096762663	0.00131976772088112
Visa_fechaalta_lag2	0.00157690427544343	0.00158067283719244	0.00323942986034458
Master_fultimo_cierre	0.00156728752487857	0.00303657421149734	0.0035273791812641
mcomisiones_ratioavg6	0.00156159532989023	0.00161955603642968	0.0038633200556702
Visa_mpagominimo_lag1	0.00155951070725387	0.00173773335542209	0.00297547631616835
mtarjeta_visa_consumo_ratioavg6	0.00154604418269603	0.00128470022255158	0.00261553966501896
mtransferencias_recibidas_lag1	0.00154517464824637	0.00161405028765844	0.00321543408360129
Visa_mpagospesos_lag2	0.00153976615819429	0.00113518052522587	0.00249556078130249
mcuenta_corriente_max6	0.00153406242233883	0.00413779624198535	0.00237558189758603
cproductos_delta1	0.00153389627747068	0.00405834056357899	0.000911839516245141
mcomisiones_otras_lag2	0.00152938555620248	0.000769075866970418	0.00203964102317992
mtarjeta_master_consumo	0.00150228764708848	0.00218401645447086	0.000815856409271968
kmes	0.00149494147190447	0.000976521426658011	0.00163171281854394
chomebanking_transacciones_delta1	0.00149277694276606	0.00210334908618048	0.00263953544176225
mcuentas_saldo_min6	0.00149127546629729	0.00189427660253165	0.00225560301386956
chomebanking_transacciones_delta2	0.00148502327343922	0.00459417533955313	0.00307145942314153
Visa_mfinanciacion_limite_lag1	0.00148280390356082	0.00130348921025021	0.00249556078130249
Master_msaldototal	0.00147838398002647	0.000906963341409537	0.000839852186015261
mcaja_ahorro_max6	0.00147647485052624	0.00178263390582605	0.00297547631616835
mcomisiones_avg6	0.00147422746616556	0.00238490188261093	0.00307145942314153
rf_010_011	0.00147111508776194	0.00015358842440994	4.79915534865864e-05
mcuenta_debitos_automaticos	0.00145909532629981	0.00222326812080734	0.0014157508278543
rf_037_011	0.00145814300367152	0.000104786374297547	2.39957767432932e-05
mrentabilidad_delta1	0.00145546694369703	0.00134272387041288	0.00343139607429093
mcuentas_saldo_delta2	0.00144814508983462	0.00136607901577971	0.00307145942314153
Visa_cconsumos	0.00144049248087929	0.00125076440271213	0.00304746364639823
ctrx_quarter_delta1	0.00143852187875869	0.00147277433308752	0.00259154388827566
mtarjeta_visa_consumo_ratiomax6	0.00143782863196834	0.000904705771836153	0.00232759034409944
mrentabilidad_ratiomax6	0.00143776876711534	0.00138791494295278	0.00311945097662811
Visa_mpagominimo_lag2	0.00142610143296376	0.00148022303721665	0.00239957767432932
mpasivos_margen_delta2	0.00142442917489488	0.00181794580856303	0.00254355233478908
mcomisiones_mantenimiento	0.0014231400427647	0.00224884682339993	0.00203964102317992
mrentabilidad_avg6	0.00141734706942016	0.00116762972203803	0.00307145942314153
mcomisiones_tend6	0.00141097531678533	0.00200999794658954	0.00302346786965494
Master_mfinanciacion_limite_lag2	0.00140918225967235	0.00159162056158314	0.00302346786965494
mcomisiones_mantenimiento_lag2	0.00139488199701	0.00204017965356026	0.00172769592551711
mcuenta_corriente_avg6	0.00139415916925224	0.00142932214181977	0.00227959879061285
mcaja_ahorro_dolares_ratiomax6	0.00136690227709925	0.000944307481916903	0.0017756874790037
Visa_mconsumospesos_lag2	0.00136161810292237	0.00154972585240024	0.0028315016557086
mrentabilidad_min6	0.00136011820925961	0.00253413247498186	0.00254355233478908
mcuentas_saldo_lag1	0.00135964864278382	0.00198783323338947	0.00261553966501896
Visa_mfinanciacion_limite_lag2	0.00135080420250555	0.00203696265234772	0.00254355233478908
mcomisiones_otras	0.00134828436926026	0.0014802301231224	0.00254355233478908
cdescubierto_preacordado_delta1	0.00134672799460838	0.00108429805318396	0.000215961990689639
mcomisiones_ratiomax6	0.00134168421253417	0.0010856188660166	0.00323942986034458
foto_mes	0.00133058250847838	0.00157214424102632	0.000935835292988434
kmes_lag1	0.00132091934947172	0.00113117131974998	0.00167970437203052
rf_012_005	0.00131918107629565	0.000305702980422943	0.000383932427892691
mcaja_ahorro_avg6	0.00131398174832923	0.00140353369641684	0.00235158612084273
Visa_mpagospesos_lag1	0.00131377200925221	0.00181865298195733	0.00287949320919518
mtransferencias_recibidas_lag2	0.00131100499985561	0.00166598430811432	0.00307145942314153
mtransferencias_emitidas	0.00130856962895993	0.00234453347752755	0.00249556078130249
mplazo_fijo_dolares_ratiomax6	0.00129310099496941	0.00121755417962193	0.000431923981379277
cliente_antiguedad_avg6	0.00129155710771608	0.00168817453057511	0.00261553966501896
rf_003_010	0.00128825742121433	0.000181895200718017	0.000503911311609157
mactivos_margen_lag2	0.00128050259774477	0.00150426409826052	0.00239957767432932
mcuentas_saldo_avg6	0.00127689921986072	0.00203093679809409	0.00309545519988482
Visa_mlimitecompra	0.00124466517565414	0.00229124463189141	0.00263953544176225
mpayroll_ratioavg6	0.00124286786863022	0.00229478900194981	0.001391755051111
cliente_antiguedad_lag2	0.00124271143860997	0.00159717449451352	0.00275951432547872
Visa_mpagospesos_delta2	0.00123446318864809	0.00152396433343918	0.00278351010222201
mpasivos_margen_delta1	0.00123114061874288	0.00119379230326479	0.0024475692278159
mcaja_ahorro_lag1	0.00123051775305696	0.00122525655917708	0.00251955655804578
mrentabilidad_delta2	0.00123024528393126	0.00130416804002149	0.00302346786965494
Master_msaldopesos	0.0012220364111491	0.00251247086109035	0.00119978883716466
mrentabilidad_annual_lag1	0.0012125781519165	0.000895940506417837	0.00235158612084273
Visa_mconsumospesos_delta1	0.00120960075684775	0.00106481464672138	0.00256754811153237
mcaja_ahorro_dolares_delta2	0.00120854061588072	0.00160566907833202	0.00165570859528723
mpasivos_margen_lag1	0.00120447783911339	0.00151767346631033	0.00249556078130249
ccaja_seguridad	0.00120091708514548	0.00158464944750187	0.00045591975812257
cdescubierto_preacordado_delta2	0.00119663606163883	0.00150916896222378	0.000335940874406105
mprestamos_hipotecarios_max6	0.00118432350282637	0.00154310619924438	0.000431923981379277
mpasivos_margen_lag2	0.00117882780571554	0.00106362563173578	0.00268752699524884
mttarjeta_visa_debitos_automaticos_lag2	0.00117426627840658	0.000792955369363084	0.00151173393482747
mcuenta_corriente_delta1	0.00116926056160081	0.00307869141812094	0.00254355233478908
ccomisiones_mantenimiento_avg6	0.00116300086185481	0.00258061885109368	0.00187167058597687
mttarjeta_visa_debitos_automaticos_ratioavg6	0.00115759486225806	0.00180815308681031	0.00213562413015309
mcuentas_saldo_lag2	0.00115467821833047	0.00124397893936162	0.00263953544176225
active_quarter_avg6	0.00115121380255749	0.000815540985364977	0.00127177616739454
cproductos_avg6	0.00114887820204323	0.000827706068364303	0.00194365791620675
ccomisiones_mantenimiento_ratioavg6	0.00113523279960534	0.00111725885239159	0.00187167058597687
Visa_mpagospesos_delta1	0.00113045973368158	0.000737117014836472	0.0024475692278159
rf_050_012	0.00112801560278989	5.78904328331146e-05	0.000143974660459759
mpasivos_margen_avg6	0.00112210511041949	0.00117101111626408	0.00266353121850554
Master_mfinanciacion_limite_lag1	0.00112197901220743	0.00102133127746832	0.00235158612084273
Visa_mpagominimo_delta1	0.00111551704755056	0.00192832437968202	0.00232759034409944
ccallcenter_transacciones	0.00111483833410994	0.00252861964030486	0.000935835292988434
ctarjeta_visa_transacciones_tend6	0.00111432749403138	0.00138964106959457	0.00191966213946345
internet_tend6	0.00109696326087586	0.00429981972860544	0.00299947209291165
Visa_mconsumospesos_lag1	0.00109613296183821	0.000850181144236426	0.00242357345107261
Master_status	0.00109574676261252	0.00266881995438224	0.000695877525555502
mcaja_ahorro_dolares_delta1	0.00109271423902814	0.00141028656460088	0.00165570859528723
cliente_edad_ratioavg6	0.00108324901981735	0.0024290980939829	0.00242357345107261
mtransferencias_recibidas_delta2	0.00107992972312999	0.000897719068762216	0.00242357345107261
Visa_cconsumos_lag2	0.00107512026018846	0.00127582583418464	0.00172769592551711
mcaja_ahorro_delta2	0.00107311993309263	0.00137955357416247	0.00249556078130249
mcuenta_corriente_lag2	0.00106813128249421	0.00179981722728071	0.00237558189758603
ctrx_quarter_lag1	0.00105612683162404	0.00153976023454711	0.00273551854873542
mtarjeta_visa_consumo_tend6	0.00104561407589113	0.000879233357829877	0.00172769592551711
internet_ratioavg6	0.00102797826701844	0.00259062840156249	0.00235158612084273
Visa_mconsumosdolares	0.00102721320608577	0.00116625222195935	0.00208763257666651
mrentabilidad_lag2	0.00102697115549298	0.00155009431949947	0.00232759034409944
cliente_edad_lag1	0.0010258949957355	0.00148758387611442	0.00208763257666651
mcaja_ahorro_dolares_min6	0.0010180099445495	0.00137177466682518	0.00167970437203052
mcaja_ahorro_dolares	0.00101559144913081	0.00209069507568409	0.00213562413015309
mcaja_ahorro_delta1	0.00101514388017035	0.00156058996310304	0.00227959879061285
chomebanking_transacciones_lag2	0.0010102065144387	0.00221929717922251	0.00261553966501896
mcaja_ahorro_dolares_lag2	0.00100857833028476	0.000990534513878111	0.00199164946969333
ctrx_quarter_lag2	0.00100719534585473	0.00151908214437433	0.00249556078130249
ctarjeta_visa_debitos_automaticos_ratiomax6	0.000997987264536554	0.00131570672895212	0.001391755051111
ctarjeta_visa_debitos_automaticos_ratioavg6	0.000992373308599653	0.00213673503973338	0.00187167058597687
mcomisiones	0.000985080030850039	0.000922318499179539	0.00182367903249028
cliente_antiguedad_min6	0.000962762927120345	0.00210694305757916	0.00187167058597687
mrentabilidad_annual_min6	0.000962010739367194	0.00121037615709263	0.00165570859528723
Visa_cconsumos_lag1	0.000955483346435016	0.00124980355389182	0.00194365791620675
Visa_fultimo_cierre_lag1	0.000954694998316947	0.000856299115264862	0.00215961990689639
Master_fultimo_cierre_lag1	0.000953310933828229	0.000914728076935318	0.00213562413015309
ctarjeta_debito_avg6	0.000951218062023613	0.00138771653759165	0.00189566636272016
Visa_fultimo_cierre_lag2	0.000944026623087821	0.00175190516693109	0.00223160723712627
mcuenta_debitos_automaticos_ratioavg6	0.000941061357638183	0.00116501785717692	0.00155972548831406
ctarjeta_visa_transacciones_max6	0.00093861392048683	0.000854553148086953	0.00160771704180064
mautoservicio_max6	0.00093812515040754	0.00143538059123987	0.00182367903249028
Master_mlimitecompra	0.000936264958766537	0.00228040603044932	0.00242357345107261
ctrx_quarter_normalizado_lag2	0.00092796035534247	0.00144599527806011	0.00187167058597687
mtransferencias_emitidas_lag1	0.000911923451432721	0.00146895786424814	0.00165570859528723
mttarjeta_visa_debitos_automaticos_tend6	0.000910787841724795	0.00238904855465847	0.00153572971157076
ctarjeta_debito_transacciones_ratioavg6	0.000905721728517134	0.000834552470504301	0.00196765369295004
ctrx_quarter_normalizado_delta1	0.00090164703142206	0.00086298962747826	0.00170370014877382
mtransferencias_emitidas_lag2	0.000892399485879437	0.00111524787233846	0.00158372126505735
Visa_mconsumospesos_delta2	0.000883057219669784	0.000968093450353609	0.0021116283534098
tcallcenter	0.000871996820898481	0.000450677777797713	0.000239957767432932
mcaja_ahorro_dolares_max6	0.00087065859394053	0.000708253286336092	0.00165570859528723
mcuenta_debitos_automaticos_lag2	0.0008683807204031	0.000754351354812567	0.000911839516245141
Master_fultimo_cierre_lag2	0.000854094135924005	0.00100747266299367	0.00223160723712627
cproductos_delta2	0.000840561669222937	0.00256045661485982	0.000935835292988434
ctrx_quarter_normalizado_delta2	0.000836749556636449	0.000801136756147229	0.00179968325574699
Visa_mpagominimo_delta2	0.000828282961849929	0.00086867394107452	0.00179968325574699
ccaja_ahorro_max6	0.00082382372481933	0.000899697453648873	0.000575898641839036
mautoservicio_tend6	0.000819608001501028	0.0033844170734423	0.00189566636272016
mttarjeta_visa_debitos_automaticos_delta2	0.000817217500243516	0.00239125652289157	0.00136775927436771
mcomisiones_lag2	0.000814120901097333	0.000922593432322813	0.0017516917022604
ccuenta_debitos_automaticos_ratiomax6	0.000810289628429705	0.000776192950710238	0.000839852186015261
ccuenta_debitos_automaticos_ratioavg6	0.00080894662193204	0.00174975955466862	0.00122378461390795
ccomisiones_otras	0.000802587810720428	0.00165739335597756	0.00227959879061285
ccomisiones_otras_lag1	0.000798849229329554	0.00156799331743534	0.00184767480923357
Visa_msaldototal_lag1	0.000796606796757951	0.000993534686374566	0.00131976772088112
mttarjeta_visa_debitos_automaticos	0.000793276647960906	0.000877264893211276	0.00148773815808418
rf_007_006	0.00079267350766685	9.50928552253908e-05	0.000503911311609157
mcomisiones_lag1	0.000790795946922027	0.00110431573694042	0.00196765369295004
rf_015_014	0.000784208214391053	9.77075544488013e-05	2.39957767432932e-05
mcaja_ahorro_dolares_tend6	0.000778194069028248	0.000699106799188183	0.00117579306042137
mcaja_ahorro_dolares_avg6	0.000776203670791945	0.000586181553541018	0.00179968325574699
mrentabilidad_lag1	0.000768764475833332	0.000765884375018592	0.00213562413015309
mtarjeta_visa_consumo_avg6	0.000768632270729436	0.000492399590880209	0.00155972548831406
mcomisiones_delta2	0.000759331408529637	0.000673352366132877	0.00160771704180064
mtransferencias_emitidas_delta1	0.000758184352599734	0.00128138685302077	0.0010558141767049
ctransferencias_recibidas	0.00075666499147913	0.00114753267613712	0.00163171281854394
rf_033_009	0.000755274192864487	0.00011686784360897	0.000167970437203052
Visa_msaldopesos_lag2	0.000752579885978473	0.000595170733581176	0.00124778039065125
mttarjeta_visa_debitos_automaticos_max6	0.000749554175164292	0.000703655950682572	0.00115179728367807
ctransferencias_recibidas_delta2	0.000745528283441255	0.00169732526926647	0.00136775927436771
mtransferencias_recibidas_delta1	0.000741969268447844	0.000636565177817815	0.00184767480923357
mtarjeta_visa_consumo_delta1	0.000739399936512848	0.00125625031094726	0.00112780150693478
rf_018_011	0.000739284526561583	0.000263877713116431	9.59831069731727e-05
cmobile_app_trx	0.000735110401343682	0.00204784235204318	0.0021116283534098
cliente_edad_avg6	0.000725427146685049	0.000734054486369377	0.00143974660459759
Visa_msaldopesos_delta2	0.000724904357317184	0.000760331859269365	0.00136775927436771
Visa_msaldototal_delta2	0.000718488670775022	0.00153451808146993	0.0014157508278543
rf_050_010	0.000718413774545234	0.000249474901079835	9.59831069731727e-05
Visa_mlimitecompra_lag1	0.000716253342269447	0.00115630644464234	0.00146374238134088
ctarjeta_debito_transacciones_max6	0.000707183402697759	0.000555111273988686	0.00129577194413783
cdescubierto_preacordado_min6	0.000706980596157449	0.000226680959448759	0.000239957767432932
Visa_msaldopesos_delta1	0.000704700413214527	0.00135710259036991	0.00134376349762442
ccajas_consultas_delta1	0.000700738253274612	0.0017801155749209	0.000431923981379277
Visa_cconsumos_delta1	0.000698890030443983	0.00114379415226104	0.00119978883716466
ctarjeta_debito_transacciones_avg6	0.00069020467865042	0.000615184165794186	0.00124778039065125
Visa_msaldopesos_lag1	0.000689382629021044	0.00106849364898912	0.00110380573019149
mtarjeta_visa_consumo_max6	0.000685187900123558	0.000648584291158598	0.00143974660459759
mcaja_ahorro_dolares_lag1	0.000684324108545965	0.000502171054915665	0.00160771704180064
Visa_cconsumos_delta2	0.00068282716464349	0.000645225571830965	0.00136775927436771
Visa_msaldototal_delta1	0.000680401872535478	0.00123142838308925	0.00129577194413783
cliente_antiguedad_lag1	0.000677755023428273	0.00104892521165749	0.00170370014877382
mcomisiones_delta1	0.000675565146352485	0.000725347325378248	0.00131976772088112
mpayroll_max6	0.000673849159987456	0.000768574184843	0.000863847962758555
